,D614G_IC50,BA1_IC50,BA2_IC50,BA3_IC50,SARS_IC50,BA1_1_IC50,BA2_12_1_IC50,BA2_75_IC50,BA5_IC50,BF7_IC50,BA2_13_IC50,BQ1_1_IC50,XBB_IC50,XBB1_5_IC50,XBB1_5_10_IC50,BA5_ELISA_compete_level,paper_reactivity,source,group
GC1198,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1199,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.171566561,cross,BF.7 convalescents,E3
GC1200,10,10,10,NA,0.1746,NA,NA,10,10,10,NA,10,10,10,10,0.015114799,cross,BF.7 convalescents,E3
GC1201,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.069439852,cross,BF.7 convalescents,E2.2
GC1202,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.126449671,cross,BF.7 convalescents,F1
GC1203,10,10,10,NA,NA,NA,NA,NA,10,10,NA,10,10,10,NA,0,cross,BF.7 convalescents,E3
GC1205,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.068846034,cross,BF.7 convalescents,F1
GC1206,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.276195618,cross,BF.7 convalescents,E3
GC1207,0.00129,2.16,0.000587,NA,10,NA,NA,0.9585,0.00209,0.02199,NA,10,10,10,10,0.730892742,cross,BF.7 convalescents,D2
GC1208,10,10,0.162,NA,10,NA,NA,0.8652,0.214,0.2202,NA,0.74,0.5,0.712,NA,0.1360519,specific,BF.7 convalescents,F3
GC1209,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1210,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.033835232,cross,BF.7 convalescents,F1
GC1211,0.292,0.243,10,NA,0.3397,NA,NA,0.8932,2.39,10,NA,10,10,10,10,0.073305619,cross,BF.7 convalescents,E2.2
GC1212,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E3
GC1213,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1214,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1215,0.00312,0.00492,0.011,NA,10,NA,NA,10,10,0.005881,NA,10,10,10,10,0.750723908,cross,BF.7 convalescents,A1
GC1216,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.243074496,cross,BF.7 convalescents,E3
GC1217,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.206950425,cross,BF.7 convalescents,F1
GC1218,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1219,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.124949466,cross,BF.7 convalescents,F1
GC1220,0.0058,0.037,0.0283,NA,10,NA,NA,1.7429,0.288,0.3189,NA,10,10,10,10,0.209849539,cross,BF.7 convalescents,A1
GC1222,0.858,0.304,0.372,NA,10,NA,NA,0.4678,0.406,0.7291,NA,1.42,1.78,3.39,NA,0.351154184,cross,BF.7 convalescents,E3
GC1223,0.00114,0.00326,0.00353,NA,10,NA,NA,0.01433,0.00506,0.02456,NA,0.0939,10,10,10,0.694475551,cross,BF.7 convalescents,D4
GC1224,0.0103,0.00589,0.00994,NA,10,NA,NA,0.04735,0.0146,0.05369,NA,0.235,0.764,0.803,NA,0.585445582,cross,BF.7 convalescents,A1
GC1225,0.000532,0.000654,0.000677,NA,10,NA,NA,0.0008484,10,0.001086,NA,0.0482,10,10,10,0.741900122,cross,BF.7 convalescents,D3
GC1226,1.29,0.879,10,NA,1.5372,NA,NA,2.2864,2.05,3.0519,NA,10,10,10,10,0.049384977,cross,BF.7 convalescents,E3
GC1227,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1228,0.194,10,10,NA,0.01389,NA,NA,10,10,10,NA,10,10,10,10,0.644309418,cross,BF.7 convalescents,F1
GC1229,0.106,10,10,NA,0.002627,NA,NA,10,10,3.4529,NA,10,10,10,10,0.698045784,cross,BF.7 convalescents,F1
GC1230,1.26,0.454,0.925,NA,10,NA,NA,0.5825,0.643,1.2019,NA,10,2.84,1.45,NA,0.15950784,cross,BF.7 convalescents,E3
GC1231,0.00298,0.00125,0.00568,NA,10,NA,NA,0.4074,0.0261,0.0483,NA,1.12,10,1.27,NA,0.354534136,cross,BF.7 convalescents,A1
GC1232,10,0.957,4.07,NA,0.6691,NA,NA,0.7016,0.484,2.2486,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1233,0.1,0.27,0.555,NA,0.01507,NA,NA,1.0998,0.434,0.5829,NA,0.848,0.405,0.5,NA,0.707206874,cross,BF.7 convalescents,F1
GC1234,0.0566,0.0465,0.00588,NA,10,NA,NA,0.01827,0.632,1.2971,NA,10,10,2.3,NA,0.088192188,cross,BF.7 convalescents,E2.2
GC1235,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.06406293,cross,BF.7 convalescents,F1
GC1236,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E3
GC1237,0.994,10,10,NA,4.6276,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1238,0.292,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.250630929,cross,BF.7 convalescents,F1
GC1240,10,0.0457,0.00473,NA,10,NA,NA,0.4539,0.0204,0.006125,NA,10,10,10,10,0.828621908,cross,BF.7 convalescents,D2
GC1241,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1242,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.199246889,cross,BF.7 convalescents,E3
GC1243,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.265578269,cross,BF.7 convalescents,E3
GC1244,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1245,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1246,0.0135,0.044,10,NA,10,NA,NA,10,0.183,0.09284,NA,10,10,10,10,0.162205283,cross,BF.7 convalescents,A1
GC1247,0.357,10,10,NA,0.019,NA,NA,10,10,10,NA,10,10,10,10,0.857055683,cross,BF.7 convalescents,F1
GC1248,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.207509688,cross,BF.7 convalescents,E2.2
GC1249,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1250,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.160713791,cross,BF.7 convalescents,E2.2
GC1251,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1252,0.000655,0.00208,0.00398,NA,10,NA,NA,0.0159,0.00771,0.004078,NA,0.0228,0.0258,0.0341,0.00651,0.720417463,cross,BF.7 convalescents,D4
GC1253,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E3
GC1254,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1255,0.497,0.302,0.0526,NA,10,NA,NA,0.247,0.162,0.5974,NA,10,2.34,3.16,NA,0,cross,BF.7 convalescents,E2.2
GC1256,0.0191,10,0.0161,NA,10,NA,NA,1.0542,0.118,0.6445,NA,10,10,10,10,0.310791367,cross,BF.7 convalescents,D2
GC1257,0.00644,0.346,0.153,NA,10,NA,NA,0.1852,0.0469,0.0422,NA,0.403,0.0678,0.0989,10,0.577179345,cross,BF.7 convalescents,A1
GC1258,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.033563027,cross,BF.7 convalescents,E2.2
GC1259,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.055881092,cross,BF.7 convalescents,E2.2
GC1260,0.0217,10,10,NA,10,NA,NA,0.3407,0.0284,0.02132,NA,0.178,0.447,0.172,NA,0.639926578,cross,BF.7 convalescents,A1
GC1262,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.28449923,cross,BF.7 convalescents,E3
GC1264,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1266,0.277,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E1/E2.1
GC1267,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.021740523,cross,BF.7 convalescents,F1
GC1269,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.225029653,cross,BF.7 convalescents,E3
GC1270,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1271,0.0922,0.386,10,NA,0.00977,NA,NA,10,10,10,NA,10,10,10,10,0.849539925,cross,BF.7 convalescents,F1
GC1275,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1276,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.174557726,cross,BF.7 convalescents,E3
GC1277,0.085,10,0.027,NA,10,NA,NA,10,0.0881,1.2343,NA,10,10,10,10,0.480921163,cross,BF.7 convalescents,D2
GC1278,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1279,0.00553,10,0.0213,NA,10,NA,NA,10,0.0635,0.1287,NA,10,10,10,10,0.521242068,cross,BF.7 convalescents,D2
GC1280,0.373,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1281,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.003188839,cross,BF.7 convalescents,F1
GC1282,0.0126,0.00286,0.00719,NA,10,NA,NA,0.2498,0.00367,0.01037,NA,0.351,0.541,0.309,NA,0.782668977,cross,BF.7 convalescents,A1
GC1284,0.105,10,0.0188,NA,10,NA,NA,10,0.0289,0.3237,NA,10,10,10,10,0,cross,BF.7 convalescents,D2
GC1285,0.0159,0.0152,0.0132,NA,10,NA,NA,10,0.0124,0.0155,NA,0.124,1.16,0.942,NA,0.697279816,cross,BF.7 convalescents,A1
GC1286,0.00292,0.00113,0.00304,NA,10,NA,NA,0.009317,0.0249,0.0794,NA,0.0938,0.743,0.946,NA,0.392857143,cross,BF.7 convalescents,A1
GC1287,10,0.0176,0.00343,NA,10,NA,NA,0.09389,0.00332,0.01066,NA,10,10,10,10,0.636392173,cross,BF.7 convalescents,D2
GC1288,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1291,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1292,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1293,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1294,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1295,0.00716,10,10,NA,10,NA,NA,0.02511,0.00156,0.01098,NA,0.0297,0.0728,0.0334,10,0.423725804,cross,BF.7 convalescents,A1
GC1296,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E3
GC1297,0.138,0.188,0.0366,NA,10,NA,NA,0.1585,0.0553,1.0362,NA,10,10,10,10,0,cross,BF.7 convalescents,E1/E2.1
GC1298,0.699,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1299,10,10,10,NA,NA,NA,NA,NA,10,10,NA,10,10,10,NA,0,cross,BF.7 convalescents,E3
GC1300,0.0123,0.108,0.174,NA,10,NA,NA,0.304,0.0722,0.08641,NA,10,10,10,10,0.339084166,cross,BF.7 convalescents,A1
GC1301,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1302,0.0237,0.00282,0.00685,NA,10,NA,NA,0.004909,0.00499,0.03925,NA,0.0279,0.00334,0.0118,NA,0.452668485,cross,BF.7 convalescents,D3
GC1303,0.0841,0.185,0.0258,NA,10,NA,NA,0.07291,1.05,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1304,0.00287,0.00272,0.00194,NA,10,NA,NA,0.16,0.00942,0.01401,NA,10,10,10,10,0.513073449,cross,BF.7 convalescents,A1
GC1305,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.295315345,cross,BF.7 convalescents,E2.2
GC1306,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1307,0.0033,0.00228,0.00274,NA,10,NA,NA,0.3292,0.00294,0.0182,NA,0.289,0.794,1.48,NA,0.812644932,cross,BF.7 convalescents,A1
GC1310,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.304397209,cross,BF.7 convalescents,F1
GC1311,0.00122,0.0747,0.106,NA,10,NA,NA,0.00941,0.132,0.2287,NA,0.195,0.714,0.966,NA,0.794866301,cross,BF.7 convalescents,A1
GC1313,0.0635,0.257,0.0939,NA,10,NA,NA,0.1561,1.9,10,NA,10,10,10,10,0.214912006,cross,BF.7 convalescents,E2.2
GC1314,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.694909432,cross,BF.7 convalescents,E2.2
GC1316,0.0867,0.806,0.179,NA,10,NA,NA,0.2856,1.51,10,NA,10,10,10,10,0.444009436,cross,BF.7 convalescents,E1/E2.1
GC1317,0.02,0.0154,0.021,NA,10,NA,NA,2.1171,0.0377,0.1567,NA,10,10,10,10,0.761922535,cross,BF.7 convalescents,A1
GC1318,0.0059,0.452,0.0709,NA,10,NA,NA,1.9315,0.0248,0.4166,NA,10,10,10,10,0.474936451,cross,BF.7 convalescents,D2
GC1319,0.00771,0.0724,0.0829,NA,10,NA,NA,0.7757,0.166,0.3767,NA,10,10,10,10,0.017133404,cross,BF.7 convalescents,A1
GC1320,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.014571191,cross,BF.7 convalescents,E2.2
GC1321,0.0106,0.0972,0.0604,NA,10,NA,NA,0.9556,0.498,0.6956,NA,10,10,10,10,0.650641353,cross,BF.7 convalescents,A1
GC1322,0.00293,0.0256,0.0251,NA,10,NA,NA,0.2114,0.0544,0.1312,NA,1.08,10,10,10,0.643252514,cross,BF.7 convalescents,A1
GC1323,0.0266,10,0.183,NA,10,NA,NA,10,0.613,0.9477,NA,10,10,10,10,0.122046302,cross,BF.7 convalescents,D2
GC1324,0.0534,10,0.143,NA,10,NA,NA,10,0.471,1.8011,NA,10,10,10,10,0.357879627,cross,BF.7 convalescents,D2
GC1327,0.00183,0.0347,0.756,NA,10,NA,NA,10,0.103,0.1289,NA,10,10,10,10,0.28941417,cross,BF.7 convalescents,A1
GC1328,0.00582,0.00861,0.00967,NA,10,NA,NA,0.3196,0.134,0.1775,NA,10,10,1.97,NA,0.608240042,cross,BF.7 convalescents,A1
GC1329,0.00513,10,10,NA,0.9129,NA,NA,10,0.407,0.4613,NA,10,10,10,10,0.183083978,cross,BF.7 convalescents,A1
GC1330,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.097930788,specific,BF.7 convalescents,F1
GC1331,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.40406706,cross,BF.7 convalescents,E3
GC1332,10,10,10,NA,NA,NA,NA,NA,10,10,NA,10,10,10,10,0.354663372,cross,BF.7 convalescents,A1
GC1334,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.423986486,cross,BF.7 convalescents,E3
GC1335,0.0132,0.00133,0.000669,NA,10,NA,NA,1.2831,0.0207,0.02604,NA,10,10,10,10,0.558243378,cross,BF.7 convalescents,A1
GC1336,10,0.828,0.0318,NA,10,NA,NA,0.1768,0.25,0.5717,NA,0.434,10,10,10,0.075317804,specific,BF.7 convalescents,C/D1
GC1337,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.208472124,cross,BF.7 convalescents,E3
GC1338,10,0.596,0.0473,NA,10,NA,NA,0.1716,0.0306,0.05794,NA,0.0335,10,10,10,0.603709949,specific,BF.7 convalescents,C/D1
GC1340,10,10,10,NA,10,NA,NA,NA,10,10,NA,10,10,10,10,0.111488931,cross,BF.7 convalescents,E1/E2.1
GC1341,10,10,10,NA,10,NA,NA,10,0.0944,0.07888,NA,0.306,10,10,10,0.656226835,specific,BF.7 convalescents,A1
GC1342,10,10,0.492,NA,10,NA,NA,10,0.213,0.5259,NA,10,10,10,10,0.256357888,specific,BF.7 convalescents,F3
GC1343,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.392972823,cross,BF.7 convalescents,E3
GC1344,10,0.563,0.00483,NA,10,NA,NA,0.01272,0.00446,0.01115,NA,0.0381,0.306,0.113,NA,0.927685547,specific,BF.7 convalescents,E1/E2.1
GC1345,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.006091232,cross,BF.7 convalescents,E3
GC1346,10,0.732,0.00592,NA,10,NA,NA,0.02451,0.0093,0.0264,NA,0.0253,10,10,10,0.7269147,specific,BF.7 convalescents,C/D1
GC1350,1.25,10,10,NA,0.4492,NA,NA,10,10,10,NA,10,10,10,10,0.436817204,cross,BF.7 convalescents,F1
GC1351,10,10,10,NA,10,NA,NA,10,0.26,1.1573,NA,1.13,10,10,10,0.16585886,specific,BF.7 convalescents,C/D1
GC1352,10,10,10,NA,10,NA,NA,10,0.189,1.3044,NA,1.04,10,10,10,0.060102302,specific,BF.7 convalescents,C/D1
GC1354,10,0.302,0.00306,NA,10,NA,NA,0.003307,0.00445,0.002311,NA,0.00584,0.0208,0.0256,NA,0.89866247,specific,BF.7 convalescents,D4
GC1355,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.170402691,cross,BF.7 convalescents,E3
GC1356,10,10,10,NA,10,NA,NA,10,1.07,1.7263,NA,10,10,10,10,0.355333895,specific,BF.7 convalescents,A1
GC1357,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.233308877,cross,BF.7 convalescents,E3
GC1358,10,10,0.965,NA,10,NA,NA,0.3242,0.0794,0.0692,NA,0.364,0.201,0.268,NA,0.728409456,specific,BF.7 convalescents,A1
GC1360,10,10,1.01,NA,10,NA,NA,0.07082,0.0343,0.05128,NA,0.0835,0.0716,0.0752,0.0715,0.641038246,specific,BF.7 convalescents,A2
GC1361,10,10,10,NA,10,NA,NA,0.373,0.0536,0.1211,NA,0.531,0.377,0.44,NA,0.319976229,specific,BF.7 convalescents,A2
GC1363,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.135820896,cross,BF.7 convalescents,E2.2
GC1364,10,10,0.00183,NA,10,NA,NA,0.001714,0.00218,0.005521,NA,10,10,10,10,0.223089088,cross,BF.7 convalescents,D3
GC1365,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E3
GC1366,10,10,10,NA,10,NA,NA,10,1.74,0.9664,NA,10,0.866,2.44,NA,0,specific,BF.7 convalescents,A2
GC1367,10,0.388,3.21,NA,10,NA,NA,2.2032,0.251,0.1502,NA,0.946,0.34,0.737,NA,0.615757922,specific,BF.7 convalescents,F3
GC1369,10,0.041,0.0326,NA,10,NA,NA,0.04953,0.0556,0.06194,NA,10,10,10,10,0.377654858,specific,BF.7 convalescents,D3
GC1370,0.0773,0.163,0.0163,NA,10,NA,NA,0.1122,0.021,0.02289,NA,0.0894,0.115,0.0781,0.444,0.883626811,cross,BF.7 convalescents,A1
GC1371,10,10,0.227,NA,10,NA,NA,0.7754,0.0516,0.0912,NA,0.647,0.386,0.582,NA,0.73559643,specific,BF.7 convalescents,A1
GC1372,0.199,0.0136,0.00891,NA,10,NA,NA,0.2794,0.00892,0.02422,NA,0.343,10,0.775,NA,0.875287262,cross,BF.7 convalescents,A1
GC1373,10,1.97,0.952,NA,10,NA,NA,10,0.0911,0.08461,NA,10,2.03,4.62,NA,0.324024715,specific,BF.7 convalescents,F3
GC1374,10,10,10,NA,10,NA,NA,10,0.205,0.1589,NA,10,10,10,10,0,specific,BF.7 convalescents,F3
GC1375,10,10,10,NA,10,NA,NA,10,1.11,0.6559,NA,1.24,1.11,0.854,NA,0.465203304,specific,BF.7 convalescents,F3
GC1376,10,10,10,NA,10,NA,NA,NA,10,10,NA,10,10,10,10,0.639094727,specific,BF.7 convalescents,A2
GC1377,10,10,10,NA,10,NA,NA,NA,10,10,NA,10,10,10,10,0,specific,BF.7 convalescents,C/D1
GC1378,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E3
GC1379,10,10,0.53,NA,10,NA,NA,0.6639,0.263,0.2098,NA,0.384,0.304,0.401,NA,0.697609279,specific,BF.7 convalescents,F3
GC1381,10,10,1.78,NA,10,NA,NA,3.2068,1.23,0.9828,NA,1.86,0.97,1.12,NA,0.391945547,specific,BF.7 convalescents,F1
GC1382,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.459973166,cross,BF.7 convalescents,E3
GC1383,10,10,10,NA,10,NA,NA,10,0.424,0.8353,NA,10,10,10,10,0,specific,BF.7 convalescents,D4
GC1385,10,0.016,0.0406,NA,10,NA,NA,0.231,0.0502,0.02014,NA,0.085,10,1.39,NA,0.319133443,specific,BF.7 convalescents,A1
GC1386,10,1.25,10,NA,10,NA,NA,10,0.0334,0.01392,NA,0.06,10,0.221,NA,0.362181256,specific,BF.7 convalescents,B
GC1388,10,0.0057,0.00501,NA,10,NA,NA,0.02646,0.0218,0.2888,NA,10,10,10,10,0.067874794,specific,BF.7 convalescents,D2
GC1389,10,0.0385,0.011,NA,10,NA,NA,0.04465,0.0246,0.07842,NA,0.0707,10,10,10,0.465865212,specific,BF.7 convalescents,D3
GC1390,10,10,0.0467,NA,10,NA,NA,0.1816,0.0285,0.03677,NA,0.266,0.115,0.202,NA,0.17761698,specific,BF.7 convalescents,F3
GC1394,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.167554669,cross,BF.7 convalescents,E3
GC1395,0.0015,0.0314,0.000761,NA,10,NA,NA,0.2255,10,0.001354,NA,10,10,10,10,0.922201282,cross,BF.7 convalescents,D2
GC1397,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.13960025,cross,BF.7 convalescents,E3
GC1398,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.225535344,cross,BF.7 convalescents,E3
GC1399,10,10,0.268,NA,10,NA,NA,0.1206,0.0536,0.0964,NA,0.0877,0.044,0.0492,0.08666,0.697549083,specific,BF.7 convalescents,A2
GC1400,10,10,10,NA,10,NA,NA,NA,10,10,NA,10,10,10,10,0,specific,BF.7 convalescents,C/D1
GC1401,10,10,1.25,NA,10,NA,NA,10,0.42,1.216,NA,1.46,10,10,10,0,specific,BF.7 convalescents,C/D1
GC1402,10,0.575,0.00468,NA,10,NA,NA,0.2971,10,0.1336,NA,10,10,10,10,0.317001649,specific,BF.7 convalescents,D2
GC1404,10,10,10,NA,10,NA,NA,10,0.224,1.0678,NA,10,10,10,10,0,specific,BF.7 convalescents,C/D1
GC1405,10,0.0745,0.0544,NA,10,NA,NA,10,0.00211,0.007696,NA,0.0799,10,10,10,0.359965187,specific,BF.7 convalescents,B
GC1406,10,10,10,NA,10,NA,NA,0.1105,0.0199,0.02727,NA,0.193,0.107,0.141,NA,0.380537089,specific,BF.7 convalescents,B
GC1408,2.07,0.118,0.0811,NA,10,NA,NA,1.1534,0.0375,0.03824,NA,0.605,0.89,0.584,NA,0.714136523,cross,BF.7 convalescents,A1
GC1410,10,2.13,0.0432,NA,10,NA,NA,0.1751,0.0516,0.1639,NA,0.072,10,10,10,0.098138748,specific,BF.7 convalescents,C/D1
GC1411,10,10,10,NA,10,NA,NA,0.1648,0.0791,0.1087,NA,0.196,0.158,0.112,NA,0.065961874,specific,BF.7 convalescents,A2
GC1413,10,10,10,NA,10,NA,NA,10,0.0586,0.1048,NA,10,10,10,10,0.272820459,specific,BF.7 convalescents,A2
GC1415,10,10,0.0155,NA,10,NA,NA,10,0.0114,0.02574,NA,0.0547,10,10,10,0.901095756,specific,BF.7 convalescents,D4
GC1416,10,10,10,NA,10,NA,NA,0.154,0.0447,0.07587,NA,0.111,0.0987,0.105,NA,0.708680533,specific,BF.7 convalescents,A2
GC1418,10,10,10,NA,10,NA,NA,NA,10,10,NA,10,10,10,10,0.060818172,specific,BF.7 convalescents,A1
GC1419,10,0.162,0.00929,NA,10,NA,NA,0.03624,0.013,0.02993,NA,0.00753,0.0282,0.0423,0.01268,0.924711176,specific,BF.7 convalescents,F3
GC1420,10,10,10,NA,10,NA,NA,NA,10,10,NA,10,10,10,10,0.148587621,specific,BF.7 convalescents,F3
GC1422,10,1.78,0.0255,NA,10,NA,NA,1.3435,0.022,0.1943,NA,0.615,10,0.88,NA,0.56370356,specific,BF.7 convalescents,E1/E2.1
GC1425,10,10,10,NA,10,NA,NA,NA,10,10,NA,10,10,10,10,0.131295636,specific,BF.7 convalescents,E1/E2.1
GC1428,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1430,10,0.0205,0.00899,NA,10,NA,NA,0.02712,0.00828,0.007082,NA,0.0404,0.0386,0.044,0.05251,0.883595305,specific,BA.2 convalescents reinfection,F3
GC1431,10,0.000735,0.000537,NA,10,NA,NA,0.0003751,10,0.0001997,NA,0.0013,0.00074,0.000632,0.000688,0.593859609,specific,BA.1 convalescents reinfection,F3
GC1432,0.0219,0.000705,10,NA,10,NA,NA,0.0006464,10,0.0001006,NA,0.0602,0.0294,0.0471,NA,0.896252636,specific,BA.2 convalescents reinfection,D3
GC1433,10,2.15,0.0139,NA,10,NA,NA,0.04909,0.0142,0.01668,NA,0.0946,0.069,0.0737,NA,0.574393634,specific,BA.2 convalescents reinfection,F3
GC1434,10,0.00242,0.00724,NA,10,NA,NA,0.0246,0.00323,0.002699,NA,0.0122,0.0367,0.0263,0.04057,0.646324333,specific,BA.1 convalescents reinfection,F3
GC1435,10,0.0212,0.00887,NA,10,NA,NA,0.03041,0.0067,0.007601,NA,0.0399,0.0403,0.0526,NA,0.767828872,specific,BA.2 convalescents reinfection,F3
GC1436,10,0.00207,0.00054,NA,10,NA,NA,0.00304,0.000679,0.001096,NA,0.00424,0.00613,0.00395,NA,0.893584128,specific,BA.2 convalescents reinfection,F3
GC1437,10,0.00236,0.00208,NA,10,NA,NA,0.01436,0.00489,0.003278,NA,0.0113,0.0236,0.0183,0.09074,0.589854776,specific,BA.1 convalescents reinfection,F3
GC1438,10,0.00346,0.00267,NA,10,NA,NA,0.02037,0.00273,0.004625,NA,0.0309,0.048,0.034,0.2212,0.907172801,specific,BA.1 convalescents reinfection,F3
GC1439,10,0.313,0.00609,NA,10,NA,NA,0.009655,0.00478,0.004698,NA,0.0299,0.0262,0.0252,0.02016,0.916205534,specific,BA.2 convalescents reinfection,F3
